SOI_1,SOI_2,SOI_3,SOI_4,SOI_5,SOI_6,SOI_7,SOI_8,SOI_9,SDI_1,SDI_2,SDI_3,SDI_4,SDI_5,SDI_6,SDI_7,SDI_8,SDI_9,SDI_10,SDI_11,SDI_12,SDI_13,SDI_14,sum
6,4,5,8,7,2,8,6,2,3,5,5,7,4,7,7,7,4,5,4,4,4,5,119
2,3,3,5,5,3,4,1,1,4,4,5,4,3,6,6,4,4,4,4,3,3,2,83
4,3,3,7,7,1,7,6,5,5,6,4,5,4,7,6,6,4,1,2,1,1,4,99
2,2,1,7,6,3,6,6,5,4,4,6,6,4,7,7,6,4,4,4,3,2,4,103
2,2,2,7,7,3,7,7,7,5,5,6,6,4,7,6,5,4,5,5,5,4,3,114
2,1,1,7,7,3,5,5,5,5,6,7,7,6,8,8,6,5,4,3,1,3,2,107
3,2,2,7,6,3,7,3,7,5,6,7,7,7,7,7,6,5,5,5,3,4,3,117
1,1,1,1,1,9,7,2,2,4,3,2,7,5,7,0,1,4,6,5,0,2,0,71
2,2,2,3,6,2,7,6,7,6,6,8,7,4,4,6,6,7,5,5,5,6,6,118
3,1,2,9,9,2,9,9,8,3,6,6,6,4,4,6,3,4,5,4,4,4,6,117
6,3,5,9,8,1,7,5,4,5,4,5,6,5,4,5,6,5,5,4,3,3,4,112
2,9,9,6,4,4,7,7,4,5,4,6,5,5,4,6,5,5,3,3,0,4,6,113
2,2,3,4,5,4,9,8,7,4,7,4,5,5,6,5,5,4,4,3,2,2,3,103
1,1,1,8,7,4,5,2,2,4,4,5,6,3,6,6,2,4,0,0,0,3,3,77
3,1,2,9,9,1,9,5,5,7,6,4,6,4,3,7,8,6,7,5,6,6,6,125
2,1,1,8,8,3,9,7,9,7,7,5,6,4,7,7,7,6,5,3,3,4,5,124
1,1,1,6,3,7,3,2,2,1,2,6,4,4,6,7,7,4,0,4,0,3,2,76
4,2,3,5,6,3,5,6,5,4,2,3,3,3,4,5,2,3,3,2,3,4,3,83
4,1,4,6,8,2,8,5,8,5,6,7,7,4,5,6,8,7,4,3,6,6,6,126
5,2,6,8,7,7,7,7,6,4,5,5,5,5,7,7,7,5,3,4,3,3,3,121
2,1,1,4,4,6,6,6,2,4,5,5,5,4,7,6,3,3,2,2,1,1,2,82
4,1,2,7,7,3,6,5,4,5,5,6,4,5,7,7,4,4,4,4,4,3,3,104
1,1,4,7,3,3,5,3,6,6,6,7,3,2,6,7,6,6,1,3,1,3,4,94
3,4,1,6,7,1,6,5,5,4,5,5,4,4,7,7,6,5,5,5,4,4,3,106
2,2,2,4,6,4,9,9,8,7,7,5,6,7,7,7,7,5,5,5,3,4,5,126
6,7,7,8,9,1,8,6,8,7,7,6,4,5,6,7,6,3,3,3,5,4,6,132