ROI,rvals,pvals,matrixpermute_rvals
0,-0.031547376,0.635272945,0
1,0.062070159,0.317536493,0
2,0.061112335,0.305138972,0
3,-0.031824585,0.629474105,0
4,-0.008484435,0.875624875,0
5,-0.060443955,0.425314937,0
6,-0.070693374,0.365126975,0
7,0.076354675,0.307938412,0
8,0.091964064,0.086582683,0
9,-0.057663818,0.419716057,0
10,0.002294933,0.972005599,0
11,0.0182892,0.816436713,0
12,-0.077854683,0.223155369,0
13,-0.034166011,0.553289342,0
14,0.043665251,0.476704659,0
15,0.043947005,0.518296341,0
16,-0.050555293,0.380923815,0
17,-0.110733924,0.073985203,0
18,0.019138308,0.784043191,0
19,0.004497929,0.942811438,0
20,0.034145037,0.543491302,0
21,0.047599322,0.433513297,0
22,-0.083023788,0.152769446,0
23,-0.036857707,0.555088982,0
24,0.010855924,0.858228354,0
25,-0.072655166,0.187762448,0
26,0.02994739,0.598880224,0
27,0.024130879,0.684063187,0
28,-0.011114607,0.842431514,0
29,-0.039491025,0.5094981,0
30,-0.118096586,0.081583683,0
31,0.058432524,0.392921416,0
32,0.080564207,0.149970006,0
33,0.044841557,0.470705859,0
34,-0.048416269,0.420915817,0
35,-0.037358293,0.543891222,0
36,0.00245189,0.973205359,0
37,-0.004493384,0.937412517,0
38,0.060381731,0.309138172,0
39,0.037803296,0.527294541,0
40,0.038244805,0.539092182,0
41,0.057268103,0.337932414,0
42,0.161228392,0.00959808,0
43,0.04259067,0.444111178,0
44,-0.035075595,0.538492302,0
45,0.006057714,0.914217157,0
46,-0.027776554,0.623275345,0
47,-0.031040847,0.662467506,0
48,-0.019320085,0.75424915,0
49,0.031669376,0.583283343,0
50,0.015621624,0.796240752,0
51,0.001283974,0.984803039,0
52,-0.013583277,0.817436513,0
53,0.036291053,0.570285943,0
54,0.097049272,0.104579084,0
55,-0.005289357,0.926214757,0
56,-0.047878979,0.406318736,0
57,0.05100624,0.391521696,0
58,-0.026498173,0.628674265,0
59,-0.025350183,0.668866227,0
60,0.060497439,0.289342132,0
61,-0.037371926,0.515496901,0
62,0.042456435,0.469306139,0
63,0.01868037,0.75124975,0
64,0.079309248,0.317736453,0
65,0.007327705,0.908818236,0
66,0.057670809,0.295140972,0
67,0.019946516,0.74205159,0
68,0.10079807,0.071785643,0
69,-0.084027756,0.273745251,0
70,0.03498995,0.575884823,0
71,-0.055711814,0.367326535,0
72,0.006653733,0.909218156,0
73,-0.055938685,0.436512697,0
74,0.064926503,0.284343131,0
75,0.006887595,0.933813237,0
76,-0.029651303,0.618476305,0
77,0.039012812,0.49990002,0
78,-0.064110954,0.403919216,0
79,-0.085354727,0.141971606,0
80,0.070690228,0.23795241,0
81,-0.028916505,0.652469506,0
82,0.009445406,0.889222156,0
83,-0.031972803,0.568886223,0
84,-0.003952249,0.948810238,0
85,0.013153654,0.825634873,0
86,0.050962194,0.422115577,0
87,-0.036690962,0.625274945,0
88,0.054268086,0.348130374,0
89,-0.030895775,0.615276945,0
90,0.048207575,0.409118176,0
91,0.041751001,0.461907618,0
92,0.075757258,0.187162567,0
93,-0.015262965,0.806038792,0
94,-0.045511684,0.433913217,0
95,0.010495517,0.870625875,0
96,0.002534039,0.966406719,0
97,0.188967892,0.00119976,0
98,0.024617482,0.719856029,0
99,0.063567721,0.296340732,0